23 Sep 2019 19:52:03, Gen 32, Species 4, finished with a score of 1406.00
23 Sep 2019 19:52:31, Gen 33, Species 0, finished with a score of 1323.00
23 Sep 2019 19:52:52, Gen 33, Species 1, finished with a score of 1130.00
23 Sep 2019 19:53:12, Gen 33, Species 2, finished with a score of 986.00
23 Sep 2019 19:53:32, Gen 33, Species 3, finished with a score of 1211.00
23 Sep 2019 19:53:51, Gen 33, Species 4, finished with a score of 1276.00
23 Sep 2019 19:54:30, Gen 34, Species 0, finished with a score of 1317.00
23 Sep 2019 19:55:02, Gen 34, Species 1, finished with a score of 1045.00
23 Sep 2019 19:56:33, Gen 1, Species 0, finished with a score of 295.00
23 Sep 2019 19:57:04, Gen 1, Species 1, finished with a score of 320.00
23 Sep 2019 19:57:35, Gen 1, Species 2, finished with a score of 467.00
23 Sep 2019 19:58:05, Gen 1, Species 3, finished with a score of 619.00
23 Sep 2019 19:58:36, Gen 1, Species 4, finished with a score of 504.00
23 Sep 2019 19:59:43, Gen 2, Species 0, finished with a score of 1328.00
23 Sep 2019 20:00:28, Gen 2, Species 1, finished with a score of 1275.00
23 Sep 2019 20:01:12, Gen 2, Species 2, finished with a score of 1244.00
23 Sep 2019 20:01:56, Gen 2, Species 3, finished with a score of 1196.00
23 Sep 2019 20:02:41, Gen 2, Species 4, finished with a score of 1551.00
23 Sep 2019 20:05:01, Gen 3, Species 0, finished with a score of 1334.00
23 Sep 2019 20:06:35, Gen 3, Species 1, finished with a score of 1162.00
23 Sep 2019 20:08:09, Gen 3, Species 2, finished with a score of 1258.00
23 Sep 2019 20:09:43, Gen 3, Species 3, finished with a score of 1085.00
23 Sep 2019 20:11:16, Gen 3, Species 4, finished with a score of 1291.00
23 Sep 2019 20:15:23, Gen 4, Species 0, finished with a score of 1400.00
23 Sep 2019 20:18:07, Gen 4, Species 1, finished with a score of 899.00
23 Sep 2019 20:20:51, Gen 4, Species 2, finished with a score of 1267.00
23 Sep 2019 20:23:34, Gen 4, Species 3, finished with a score of 1075.00
23 Sep 2019 20:26:19, Gen 4, Species 4, finished with a score of 1238.00
23 Sep 2019 20:33:12, Gen 5, Species 0, finished with a score of 1237.00
23 Sep 2019 20:38:05, Gen 5, Species 1, finished with a score of 1128.00
23 Sep 2019 20:42:54, Gen 5, Species 2, finished with a score of 1516.00
23 Sep 2019 20:47:27, Gen 5, Species 3, finished with a score of 1167.00
23 Sep 2019 20:51:58, Gen 5, Species 4, finished with a score of 1091.00
23 Sep 2019 21:00:56, Gen 6, Species 0, finished with a score of 1081.00
23 Sep 2019 21:06:56, Gen 6, Species 1, finished with a score of 1047.00
23 Sep 2019 21:12:56, Gen 6, Species 2, finished with a score of 1380.00
23 Sep 2019 21:18:59, Gen 6, Species 3, finished with a score of 1171.00
23 Sep 2019 21:25:00, Gen 6, Species 4, finished with a score of 1378.00
23 Sep 2019 21:39:03, Gen 7, Species 0, finished with a score of 781.00
23 Sep 2019 21:48:31, Gen 7, Species 1, finished with a score of 1351.00
23 Sep 2019 21:57:59, Gen 7, Species 2, finished with a score of 935.00
23 Sep 2019 22:07:26, Gen 7, Species 3, finished with a score of 1160.00
23 Sep 2019 22:17:09, Gen 7, Species 4, finished with a score of 1024.00
23 Sep 2019 22:40:19, Gen 8, Species 0, finished with a score of 633.00
23 Sep 2019 22:55:29, Gen 8, Species 1, finished with a score of 1285.00
23 Sep 2019 23:10:30, Gen 8, Species 2, finished with a score of 1390.00
23 Sep 2019 23:25:26, Gen 8, Species 3, finished with a score of 934.00
23 Sep 2019 23:40:27, Gen 8, Species 4, finished with a score of 994.00
24 Sep 2019 00:08:38, Gen 9, Species 0, finished with a score of 1197.00
24 Sep 2019 00:27:10, Gen 9, Species 1, finished with a score of 967.00
24 Sep 2019 00:45:35, Gen 9, Species 2, finished with a score of 1263.00
24 Sep 2019 01:04:10, Gen 9, Species 3, finished with a score of 940.00
24 Sep 2019 01:22:42, Gen 9, Species 4, finished with a score of 1183.00
24 Sep 2019 02:04:54, Gen 10, Species 0, finished with a score of 1322.00
